etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_TURBIGO_3;;EDIPOWER SPA;IREN MERCATO SPA;TURBIGO;IREN;20029 TURBIGO MI;TURBIGO;MI;45,5479915;8,715665;NORD;UNITÀ DI PRODUZIONE N 3 DELL`IMPIANTO TURBIGO;TERMICO;TRADIZIONALE;SI;SI;SI;50;279
UP_TURBIGO_4;PIP;EDIPOWER SPA;IREN MERCATO SPA;TURBIGO;IREN;20029 TURBIGO MI;TURBIGO;MI;45,5529915;8,708665;NORD;UNITÀ DI PRODUZIONE N 4 DELL`IMPIANTO TURBIGO;TERMICO;COMBINATO;SI;SI;SI;270;800
UP_SND_ALBAN_1;;EDISON SPA;EDISON TRADING SPA;ALBANO;EDISON;22014 DONGO CO;DONGO;CO;46,1227726;9,2795452;NORD;IDRO ALBANO EDISON;IDRICO;BACINO;SI;SI;SI;1;14,8
UP_ALTOMONTE_1;EDISON;EDISON SPA;EDISON TRADING SPA;ALTOMONTE;EDISON;87042 ALTOMONTE CS;ALTOMONTE;CS;39,6984817;16,1289488;ROSN;CTE ALTOMONTE COMBINATO (TG1 + TG2 + TV);TERMICO;COMBINATO;SI;SI;SI;225;808
UP_AZOTATI_5;;EDISON SPA;EDISON TRADING SPA;AZOTATI;EDISON;30100 MARGHERA VE;MARGHERA;VE;45,4619904;12,2171672;NORD;RISTRUTTURAZIONE VECCHIA UP CON NUOVO TURBOGAS LMS100 (UP_AZOTATI_5);TERMICO;COMBINATO;SI;SI;SI;28;236
UP_BATTIGGIO_1;;EDISON SPA;EDISON TRADING SPA;BATTIGGIO;EDISON;28897 BATTIGGIO VB;BATTIGGIO;VB;45,98437;8,1251984;NORD;IMPIANTO DI BATTIGGIO;IDRICO;BACINO;SI;SI;SI;4;20,53
UP_BUSSI_1;EDISON;EDISON SPA;EDISON TRADING SPA;BUSSI;EDISON;65022 BUSSI SUL TIRINO PE;BUSSI SUL TIRINO;PE;42,2135849;13,8253915;CSUD;Unità di Produzione n 1 dell`Impianto BUSSI;TERMICO;COMBINATO;SI;SI;SI;35;122
UP_SND_CAMPO_1;;EDISON SPA;EDISON TRADING SPA;CAMPO;EDISON;23020 VERCEIA SO;VERCEIA;SO;46,1996985;9,4518977;NORD;IDRO CAMPO EDISON;IDRICO;BACINO;SI;SI;SI;0;38
UP_CANDELA_1;EDISON;EDISON SPA;EDISON TRADING SPA;CANDELA;EDISON;71024 CANDELA FG;CANDELA;FG;41,1398576;15,5078587;FOGN;UNITA` DI PRODUZIONE 1 CTE CANDELA;TERMICO;COMBINATO;SI;SI;SI;260;400,5
UP_CHIEVOLIS_2;;EDISON SPA;EDISON TRADING SPA;CHIEVOLIS;EDISON;33090 CHIEVOLIS PN;CHIEVOLIS;PN;46,2545519;12,7353981;NORD;IDRO CHIEVOLIS 2 CAFFARO E.;IDRICO;SERBATOIO;SI;SI;SI;0;20
UP_ALTOADDA_1;;EDISON SPA;EDISON TRADING SPA;GANDA;EDISON;23031 APRICA SO;APRICA;SO;46,1273515;10,1515988;NORD;ASTA ALTO ADDA;POMPAGGIO;ASTA;SI;SI;SI;-12,6;327,1
UP_JESI_1;EDISON;EDISON SPA;EDISON TRADING SPA;JESI;EDISON;60035 JESI AN;JESI;AN;43,5254963;13,2105546;CNOR;C.TE DI JESI  ;TERMICO;COMBINATO;SI;SI;SI;110;140
